trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	num_distr	fixation.started	target.started	mouse.started	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate
63	0	63	0	10	149.2826313	149.2826313	0.0345794	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
64	0	64	0	10	149.8477131	149.8477131	0.0398231	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
65	0	65	0	10	150.4128633	150.4128633	0.0401093	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
66	0	66	0	10	150.8947916	150.8947916	0.0403064	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
67	0	67	0	10	151.376939	151.376939	0.0292972	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
69	0	69	0	10	152.3603121	152.3603121	0.0330291	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
70	0	70	0	10	152.8571173	152.8571173	0.0436586	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
71	0	71	0	10	153.3879859	153.3879859	0.057568	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
73	0	73	0	10	154.4185994	154.4185994	0.0334808	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
77	0	77	0	10	156.7122719	156.7122719	0.0337695	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
78	0	78	0	10	157.293956	157.293956	0.029769	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
81	0	81	0	10	158.9228865	158.9228865	0.0474611	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
82	0	82	0	10	159.4214329	159.4214329	0.0556633	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
83	0	83	0	10	159.936849	159.936849	0.0405339	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
84	0	84	0	10	160.4020784	160.4020784	0.040199	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
85	0	85	0	10	160.9507146	160.9507146	0.0562434	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
86	0	86	0	10	161.4491979	161.4491979	0.0295107	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
87	0	87	0	10	162.0642461	162.0642461	0.0542557	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
89	0	89	0	10	163.1446292	163.1446292	0.0526046	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
92	0	92	0	10	164.8069117	164.8069117	0.0562785	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
94	0	94	0	10	165.8373399	165.8373399	0.0334104	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
100	0	100	0	10	169.5108441	169.5108441	0.0333911	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
106	0	106	0	10	172.9538876	172.9538876	0.0434299	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
